"variable","bin","woe","points"
"ROA.A..before.interest.and...after.tax","[-Inf,0.48)",1.94007568310591,-25
"ROA.A..before.interest.and...after.tax","[0.48,0.53)",0.87100597282727,-11
"ROA.A..before.interest.and...after.tax","[0.53,0.55)",-0.0767025682038684,1
"ROA.A..before.interest.and...after.tax","[0.55,0.58)",-1.65100957176119,22
"ROA.A..before.interest.and...after.tax","[0.58, Inf)",-3.89475416473231,51
"Operating.Gross.Margin","[-Inf,0.594)",1.83430485492096,-52
"Operating.Gross.Margin","[0.594,0.6)",0.5130813392662,-15
"Operating.Gross.Margin","[0.6,0.606)",-0.134085647053187,4
"Operating.Gross.Margin","[0.606,0.618)",-1.09882876231329,31
"Operating.Gross.Margin","[0.618, Inf)",-0.806196184701652,23
"Operating.Profit.Rate","[-Inf,0.99894)",1.35394660929192,67
"Operating.Profit.Rate","[0.99894,0.999)",-0.20218502782293,-10
"Operating.Profit.Rate","[0.999,0.9991)",-0.862285651352695,-42
"Operating.Profit.Rate","[0.9991, Inf)",-2.24003924490291,-110
"Non.industry.income.and.expenditure.revenue","[-Inf,0.30342)",1.56839944426867,-24
"Non.industry.income.and.expenditure.revenue","[0.30342,0.30352)",-0.545264585235657,8
"Non.industry.income.and.expenditure.revenue","[0.30352, Inf)",-1.49725158779604,23
"Continuous.interest.rate..after.tax.","[-Inf,0.78146)",1.70298959824143,-42
"Continuous.interest.rate..after.tax.","[0.78146,0.78158)",0.196493820600875,-5
"Continuous.interest.rate..after.tax.","[0.78158,0.78168)",-1.21228144786845,30
"Continuous.interest.rate..after.tax.","[0.78168,0.78172)",-2.62246668494406,65
"Continuous.interest.rate..after.tax.","[0.78172, Inf)",-3.77908896628582,93
"Operating.Expense.Rate","[-Inf,200000000)",0.0825830066270013,-6
"Operating.Expense.Rate","[200000000,5000000000)",-0.484698122071568,33
"Operating.Expense.Rate","[5000000000,7000000000)",-0.31799657725424,21
"Operating.Expense.Rate","[7000000000,8600000000)",0.214628274854336,-14
"Operating.Expense.Rate","[8600000000, Inf)",-0.239889326910599,16
"Research.and.development.expense.rate","[-Inf,1600000000)",0.155436836066614,-5
"Research.and.development.expense.rate","[1600000000,3200000000)",-0.604532440498509,18
"Research.and.development.expense.rate","[3200000000,5600000000)",-0.18099362858776,5
"Research.and.development.expense.rate","[5600000000,7400000000)",0.0720284332281496,-2
"Research.and.development.expense.rate","[7400000000, Inf)",-0.796221039644832,24
"Cash.flow.rate","[-Inf,0.462)",0.858027724107219,-13
"Cash.flow.rate","[0.462,0.466)",0.0470975078908902,-1
"Cash.flow.rate","[0.466,0.472)",-1.60583758755258,25
"Cash.flow.rate","[0.472, Inf)",-2.1740207767733,34
"Interest.bearing.debt.interest.rate","[-Inf,0.0002)",-2.05348514102099,63
"Interest.bearing.debt.interest.rate","[0.0002,0.0004)",-0.355339826892493,11
"Interest.bearing.debt.interest.rate","[0.0004,0.0007)",0.700922757446104,-21
"Interest.bearing.debt.interest.rate","[0.0007,0.00105)",1.19776828883613,-37
"Interest.bearing.debt.interest.rate","[0.00105, Inf)",-1.53349302511372,47
"Tax.rate..A.","[-Inf,0.02)",0.765175613788095,-4
"Tax.rate..A.","[0.02,0.1)",-1.45261063646959,8
"Tax.rate..A.","[0.1,0.26)",-2.35918190007533,13
"Tax.rate..A.","[0.26, Inf)",-0.422210883704554,2
"Net.Value.Per.Share..A.","[-Inf,0.16)",2.05615979510366,-29
"Net.Value.Per.Share..A.","[0.16,0.175)",0.139684367264823,-2
"Net.Value.Per.Share..A.","[0.175,0.195)",-0.721982459510777,10
"Net.Value.Per.Share..A.","[0.195, Inf)",-1.9386154914505,27
"Persistent.EPS.in.the.Last.Four.Seasons","[-Inf,0.195)",2.32514864768069,-17
"Persistent.EPS.in.the.Last.Four.Seasons","[0.195,0.21)",0.959559370168715,-7
"Persistent.EPS.in.the.Last.Four.Seasons","[0.21,0.24)",-1.045706310657,7
"Persistent.EPS.in.the.Last.Four.Seasons","[0.24, Inf)",-3.62987656809914,26
"Realized.Sales.Gross.Profit.Growth.Rate","[-Inf,0.02198)",1.76907013973082,48
"Realized.Sales.Gross.Profit.Growth.Rate","[0.02198,0.02202)",0.705509489121626,19
"Realized.Sales.Gross.Profit.Growth.Rate","[0.02202,0.02207)",-0.0379568016280262,-1
"Realized.Sales.Gross.Profit.Growth.Rate","[0.02207, Inf)",-0.495331088018244,-13
"Operating.Profit.Growth.Rate","[-Inf,0.84788)",1.26563173439884,-32
"Operating.Profit.Growth.Rate","[0.84788,0.84798)",0.172916657094369,-4
"Operating.Profit.Growth.Rate","[0.84798,0.8482)",-0.33703878903769,9
"Operating.Profit.Growth.Rate","[0.8482, Inf)",-0.822928858559768,21
"After.tax.Net.Profit.Growth.Rate","[-Inf,0.6885)",1.60560479831873,55
"After.tax.Net.Profit.Growth.Rate","[0.6885,0.68915)",0.850559651118349,29
"After.tax.Net.Profit.Growth.Rate","[0.68915,0.68975)",-0.393041646817524,-14
"After.tax.Net.Profit.Growth.Rate","[0.68975, Inf)",-1.41699385149015,-49
