"variable","MeanDecreaseGini"
"Persistent.EPS.in.the.Last.Four.Seasons",8.58872790002268
"Continuous.interest.rate..after.tax.",7.49587779449439
"Borrowing.dependency",7.34851141228101
"Net.worth.Assets",6.99314570210293
"ROA.B..before.interest.and.depreciation.after.tax",6.17161370423356
"Total.debt.Total.net.worth",6.05634986498075
"Quick.Ratio",5.6665271243155
"ROA.C..before.interest.and.depreciation.before.interest",5.5690148775409
"Net.profit.before.tax.Paid.in.capital",5.36315069170386
"Debt.ratio..",5.18374203160195
"Per.Share.Net.profit.before.tax..Yuan...",4.99560421993615
"After.tax.net.Interest.Rate",4.74434985663266
"Net.Value.Growth.Rate",4.46001384709481
"ROA.A..before.interest.and...after.tax",4.04754272288033
"Interest.Expense.Ratio",4.04661359377875
"Pre.tax.net.Interest.Rate",3.80862858383887
"Degree.of.Financial.Leverage..DFL.",3.60425118483887
"Non.industry.income.and.expenditure.revenue",3.53008621126946
"Interest.Coverage.Ratio..Interest.expense.to.EBIT.",3.16745830530152
"Interest.bearing.debt.interest.rate",2.54042939438161
"Net.Value.Per.Share..A.",2.23649488484425
"Net.Value.Per.Share..B.",2.21071809772443
"Operating.profit.per.person",1.94410318520098
"Current.Ratio",1.91390351929822
"Accounts.Receivable.Turnover",1.86586211059325
"Average.Collection.Days",1.69464533438172
"Cash.Turnover.Rate",1.52009901008463
"Cash.flow.rate",1.48155835171695
"Net.Value.Per.Share..C.",1.47079767679075
"Operating.Profit.Rate",1.4268300030696
"Operating.profit.Paid.in.capital",1.42437478239613
"Inventory.Working.Capital",1.34256243561063
"Total.Asset.Growth.Rate",1.32480037937516
"Total.Asset.Turnover",1.31939124383474
"Equity.to.Long.term.Liability",1.26436465570063
"Tax.rate..A.",1.26332176797358
"Operating.Gross.Margin",1.20106531455455
"Inventory.Current.Liability",1.14345832418903
"Cash.Reinvestment..",1.13561442909899
"Fixed.Assets.Turnover.Frequency",1.10667579507997
"Cash.Flow.Per.Share",1.1043151661194
"Realized.Sales.Gross.Margin",1.06061687763033
"Continuous.Net.Profit.Growth.Rate",1.06017254731669
"Operating.Profit.Per.Share..Yuan...",0.99626771323565
"Long.term.fund.suitability.ratio..A.",0.98187883908701
"Realized.Sales.Gross.Profit.Growth.Rate",0.977625559956185
"Revenue.per.person",0.97671269422129
"Inventory.and.accounts.receivable.Net.value",0.96904685114825
"Quick.Asset.Turnover.Rate",0.965026917186583
"After.tax.Net.Profit.Growth.Rate",0.90498866728529
"Current.Liability.to.Liability",0.89107513318551
"Net.Worth.Turnover.Rate..times.",0.877605301470434
"Revenue.Per.Share..Yuan...",0.876297006352257
"Total.Asset.Return.Growth.Rate.Ratio",0.863442563162017
"Current.Asset.Turnover.Rate",0.858378534667281
"Regular.Net.Profit.Growth.Rate",0.848867350651716
"Current.Liabilities.Liability",0.842406262782573
"Inventory.Turnover.Rate..times.",0.790207537407008
"Operating.Profit.Growth.Rate",0.789850007534113
"Research.and.development.expense.rate",0.775064346198143
"Operating.Expense.Rate",0.764569147419573
"Long.term.Liability.to.Current.Assets",0.693096449641625
"Contingent.liabilities.Net.worth",0.460208201592321
